,Archivo,Palabra
0,14839-8.txt,j
1,14839-8.txt,rizal
2,14839-8.txt,filipinas
3,14839-8.txt,dentro
4,14839-8.txt,cien
5,14839-8.txt,anos
6,14839-8.txt,estudio
7,14839-8.txt,politicosocial
8,14839-8.txt,publicado
9,14839-8.txt,quincenario
10,14839-8.txt,solidaridad
11,14839-8.txt,septiembre
12,14839-8.txt,enero
13,14839-8.txt,ahora
14,14839-8.txt,reimpreso
15,14839-8.txt,primera
16,14839-8.txt,vez
17,14839-8.txt,ano
18,14839-8.txt,filipinas
19,14839-8.txt,dentro
20,14839-8.txt,cien
21,14839-8.txt,anos
22,14839-8.txt,i
23,14839-8.txt,siguiendo
24,14839-8.txt,costumbre
25,14839-8.txt,abordar
26,14839-8.txt,frente
27,14839-8.txt,mas
28,14839-8.txt,arduas
29,14839-8.txt,delicadas
30,14839-8.txt,cuestiones
31,14839-8.txt,relacionan
32,14839-8.txt,filipinas
33,14839-8.txt,importarnos
34,14839-8.txt,consecuencias
35,14839-8.txt,franqueza
36,14839-8.txt,pudiera
37,14839-8.txt,ocasionar
38,14839-8.txt,vamos
39,14839-8.txt,presente
40,14839-8.txt,articulo
41,14839-8.txt,tratar
42,14839-8.txt,porvenir
43,14839-8.txt,leer
44,14839-8.txt,destino
45,14839-8.txt,pueblos
46,14839-8.txt,menester
47,14839-8.txt,abrir
48,14839-8.txt,libro
49,14839-8.txt,pasado
50,14839-8.txt,pasado
51,14839-8.txt,filipinas
52,14839-8.txt,reduce
53,14839-8.txt,grandes
54,14839-8.txt,rasgos
55,14839-8.txt,sigue
56,14839-8.txt,incorporadas
57,14839-8.txt,apenas
58,14839-8.txt,corona
59,14839-8.txt,espanola
60,14839-8.txt,sostener
61,14839-8.txt,sangre
62,14839-8.txt,esfuerzos
63,14839-8.txt,hijos
64,14839-8.txt,guerras
65,14839-8.txt,ambiciones
66,14839-8.txt,conquistadoras
67,14839-8.txt,pueblo
68,14839-8.txt,espanol
69,14839-8.txt,luchas
70,14839-8.txt,crisis
71,14839-8.txt,terrible
72,14839-8.txt,pueblos
73,14839-8.txt,cambian
74,14839-8.txt,gobierno
75,14839-8.txt,leyes
76,14839-8.txt,usos
77,14839-8.txt,costumbres
78,14839-8.txt,religion
79,14839-8.txt,creencias
